# Logfile created on 2025-12-26 19:34:57 +0530 by logger.rb/v1.4.3
2025-12-26 19:34:57 +0530: Memory Usage (437188K) : edgeseal_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437188K) : edgeseal_bound has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437316K) : substrate_drw has 1 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437316K) : substrate_text has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437444K) : dfpad_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437444K) : dfpad_pillar has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437572K) : dfpad_sbump has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437572K) : thickgateox_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437700K) : pldb_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437700K) : pwell_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437828K) : pwell_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437828K) : pwell_block has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437956K) : ic_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437956K) : via3_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438084K) : metal4_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438084K) : metal4_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438212K) : metal4_mask has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438212K) : metal4_filler has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438212K) : metal4_nofill has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438340K) : metal4_slit has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438340K) : metal4_text has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438468K) : metal4_opc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438468K) : metal4_noqrc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438596K) : metal4_res has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438596K) : metal4_iprobe has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438724K) : metal4_diffprb has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438852K) : heattrans_drw has 2 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438852K) : heatres_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438980K) : pempoly_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438980K) : fbe_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (439108K) : empoly_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (439108K) : ldmos_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (439236K) : pbiwind_drw has 0 polygons
